"","nobs","nsim","rho","sel.cri","lm","heck.noinst","heck.inst"
"1",500,1,-0.9,0,-0.355751666839268,-0.258717336547584,-0.125931992470813
"2",1100,1,-0.9,0,-0.209840515736327,0.0269097365371409,0.060577083665192
"3",3000,1,-0.9,0,-0.243559500151464,0.00665514177714499,-0.0015997816751131
"4",8200,1,-0.9,0,-0.223670124459112,0.00256163415340049,0.00579115042601086
"5",500,2,-0.9,0,-0.242849755387631,0.0594658849363805,0.0268874834026658
"6",1100,2,-0.9,0,-0.227699820271722,-0.271900825616538,-0.00436248641700077
"7",3000,2,-0.9,0,-0.225247324141556,0.00919103684488332,-0.0126353514197355
"8",8200,2,-0.9,0,-0.243223288634135,-0.00397788197605897,-0.0163819377050977
"9",500,3,-0.9,0,-0.203621857669557,-0.00780212862505691,0.0601439231453105
"10",1100,3,-0.9,0,-0.207879602771918,-0.319483269141028,0.0528618813969475
"11",3000,3,-0.9,0,-0.219720055596503,-0.00208174996963828,0.00565235474066905
"12",8200,3,-0.9,0,-0.222814674531676,0.0126354207889525,0.00580053504321265
"13",500,4,-0.9,0,-0.156929378171309,0.0139106467469587,0.0180690328382698
"14",1100,4,-0.9,0,-0.254056344748135,-0.296373586960202,-0.0139909897613965
"15",3000,4,-0.9,0,-0.258658853389682,-0.0148559547902665,-0.0165257758283929
"16",8200,4,-0.9,0,-0.220655698712736,0.0127537255071921,0.0179854219317364
"17",500,5,-0.9,0,-0.225670660603803,0.00745072468033126,-0.011145388283257
"18",1100,5,-0.9,0,-0.202306813009375,0.0586776912508131,0.059200285878362
"19",3000,5,-0.9,0,-0.22297437084353,-0.00275636798636469,-0.00517729287161073
"20",8200,5,-0.9,0,-0.259305471212229,-0.0237513896898502,-0.0249015544913244
"21",500,6,-0.9,0,-0.264124360248294,0.497414866332675,0.00203036286444314
"22",1100,6,-0.9,0,-0.220405887714114,-0.370325068955312,0.0666127223932766
"23",3000,6,-0.9,0,-0.205894758264023,0.00619198395484655,0.015062699966208
"24",8200,6,-0.9,0,-0.240533063318235,-0.0255147469947432,-0.0154605178809588
"25",500,7,-0.9,0,-0.145933946885998,-0.267776032843913,0.0639145945840169
"26",1100,7,-0.9,0,-0.23726152527745,-0.035974024599965,-0.00289013628608858
"27",3000,7,-0.9,0,-0.233742992304594,0.0280727430600891,0.0240988578708508
"28",8200,7,-0.9,0,-0.230975852437357,0.00780539659866863,0.00531448072903129
"29",500,8,-0.9,0,-0.202372617093966,0.0801055698180815,0.0568250450370233
"30",1100,8,-0.9,0,-0.265903515445029,-0.0525651962977116,-0.0470148162730701
"31",3000,8,-0.9,0,-0.223280427265928,-0.307556213780823,0.00676010293046803
"32",8200,8,-0.9,0,-0.239058597455741,0.0131724131778537,0.00640874981116379
"33",500,9,-0.9,0,-0.276485763288923,-0.00849337608336198,-0.0452845335311647
"34",1100,9,-0.9,0,-0.188278339004479,-0.254155820954754,0.0358956793722369
"35",3000,9,-0.9,0,-0.194148066124106,0.0395145841147688,0.0460383189871516
"36",8200,9,-0.9,0,-0.232611583288449,0.00376571715142515,-0.00873424683333213
"37",500,10,-0.9,0,-0.226402564534934,0.0187754014383144,0.0262361435024798
"38",1100,10,-0.9,0,-0.214871508324242,-0.0220346157119373,-0.0167124983424402
"39",3000,10,-0.9,0,-0.240583440572208,-0.0325939963389649,-0.0310846690927415
