"","nobs","nsim","rho","sel.cri","lm","heck.noinst","heck.inst"
"41",3000,7,-0.9,0,-0.257064479221785,-0.333381188726672,-0.0346579750742948
"42",8200,7,-0.9,0,-0.244099260007782,-0.0194995556069671,-0.0113186134086725
"43",100,8,-0.9,0,-0.371391707272549,-0.777519939227762,-0.0960743263978462
"44",200,8,-0.9,0,-0.129227562244835,0.149309362190694,0.123892006378659
"45",500,8,-0.9,0,-0.168734025496845,-0.428359433560816,0.094150043234678
"46",1100,8,-0.9,0,-0.204897460236268,-0.0728337169955769,0.00658627287700386
"47",3000,8,-0.9,0,-0.216970232276069,-0.0397604971755523,0.00664682531291483
"48",8200,8,-0.9,0,-0.204116198102342,-0.0382356430572309,-0.000858817157467495
"49",100,9,-0.9,0,-0.196471222792915,0.682770025710309,-0.0602990876410178
"50",200,9,-0.9,0,-0.265562378773376,-0.0687949764510187,-0.0126820420155169
"51",500,9,-0.9,0,-0.26709707363157,-0.185891765708828,-0.0813925399204289
"52",1100,9,-0.9,0,-0.160725720027726,0.0724635775562246,0.0410522859940756
"53",3000,9,-0.9,0,-0.211141120686741,0.0768910306063382,0.0169267591626872
"54",8200,9,-0.9,0,-0.207965635746405,0.0469685198784426,0.00630277247253774
"55",100,10,-0.9,0,-0.234316920384868,-1.0831254846373,-0.00518017457708331
"56",200,10,-0.9,0,-0.108365463392857,0.0189567405621256,0.0293063348736557
"57",500,10,-0.9,0,-0.144285883574417,0.167091522916374,0.0880178704281136
"58",1100,10,-0.9,0,-0.243733316325291,-0.0214984498703181,-0.0582879305226126
"59",3000,10,-0.9,0,-0.214184587714986,-0.0379204059675045,-0.0134434843237885
"60",8200,10,-0.9,0,-0.228038358724949,-0.0509500340259745,-0.0128616823287954
"61",100,11,-0.9,0,-0.225500617329098,-0.673090815407462,0.0412948024954956
"62",200,11,-0.9,0,-0.333074689915631,0.0811609644945208,-0.140859329080459
"63",500,11,-0.9,0,-0.175321895204823,-0.0294307858867094,0.0163632579200159
"64",1100,11,-0.9,0,-0.19969061500592,-0.035140275875213,0.019610495061386
"65",3000,11,-0.9,0,-0.179830042692523,0.0108920092329852,0.0300497991783848
"66",8200,11,-0.9,0,-0.193357479678802,0.0108382616413849,0.0201098067388465
